outcome,outcome_label,cohort,baseline_year,target_year,event_time,n_treated_states,n_control_states,treated_states,control_states,treated_change,control_change,att
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2005,-5,1,48,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming,0.18485161909630676,-0.652470797074781,0.8373224161710877
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2006,-4,1,48,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming,-0.2832831110084122,-0.31356116904209513,0.030278058033682942
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2007,-3,1,48,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming,0.3535873391813187,-0.1335430852014757,0.4871304243827944
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2008,-2,1,48,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming,-0.32508765186493527,-0.029731213720196704,-0.29535643814473855
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2010,0,1,48,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin;Wyoming,0.19451431414325526,0.4240527749865459,-0.22953846084329066
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2011,1,1,47,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,0.3058768292910692,0.5040503766803155,-0.1981735473892463
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2012,2,1,47,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,0.4374053983815287,0.5585131406401993,-0.1211077422586706
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2013,3,1,47,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,0.487562524612871,0.5796795049888128,-0.09211698037594185
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2014,4,1,47,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,1.1536087114218745,1.0707019499336345,0.08290676148823994
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2010,2009,2015,5,1,44,Arizona,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,1.0779823832630218,1.2506671084195948,-0.17268472515657307
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2006,-5,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-0.09792364394047937,-0.7512243759454102,0.6533007320049309
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2007,-4,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-2.1596721265615813,-0.5235091311162438,-1.6361629954453374
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2008,-3,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-1.7402624883166986,-0.4264121057363182,-1.3138503825803804
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2009,-2,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-3.157717002875499,-0.3658897063080576,-2.7918272965674413
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2011,0,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-0.0679314670197737,0.13816067037225793,-0.20609213739203164
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2012,1,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,3.4543187373558766,0.19262343433214177,3.261695303023735
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2013,2,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-1.4795676845737944,0.21378979868075534,-1.6933574832545497
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2014,3,1,47,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kansas;Kentucky;Louisiana;Maine;Maryland;Massachusetts;Michigan;Minnesota;Mississippi;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-1.3263884546742464,0.7048122436255769,-2.0312006982998234
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2015,4,1,44,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,2.061987628421491,0.8819565181998258,1.1800311102216652
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2011,2010,2016,5,1,42,Wyoming,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,1.2189667515822933,0.7293282254376836,0.4896385261446097
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2010,-5,3,44,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-0.5571409851087458,-0.7148807385244518,0.157739753415706
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2011,-4,3,44,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-0.2817343478295668,-0.5860777477140293,0.3043433998844625
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2012,-3,3,44,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-0.4460516058867577,-0.5166981640711632,0.07064655818440552
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2013,-2,3,44,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,-0.5115912308627087,-0.4896200277231475,-0.021971203139561246
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2015,0,3,44,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Idaho;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;West Virginia;Wisconsin,0.642509748908458,0.1670757796753739,0.4754339692330841
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2016,1,3,42,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.5436084214448608,0.11765882717296676,0.425949594271894
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2017,2,3,39,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.8897465176662619,0.6447354768441824,0.24501104082207947
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2018,3,3,39,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.7814716360584509,0.470990059087983,0.3104815769704679
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2019,4,3,36,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oregon;Pennsylvania;Rhode Island;South Carolina;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.8285206821843284,0.5152934162074561,0.31322726597687234
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2015,2014,2020,5,3,36,Kansas;Maine;Mississippi,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oregon;Pennsylvania;Rhode Island;South Carolina;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.09434516046049997,-0.16363058826499188,0.06928542780449191
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2011,-5,2,42,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-1.2601573059139435,-0.7290104903168062,-0.5311468155971373
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2012,-4,2,42,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.3826343301444437,-0.6981139253466369,0.31547959520219315
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2013,-3,2,42,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-1.6669345303202174,-0.6085892015451072,-1.0583453287751103
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2014,-2,2,42,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.4539767460056501,-0.19664970946970836,0.6506264554753585
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2016,0,2,42,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Missouri;Montana;Nebraska;Nevada;New Hampshire;New Jersey;New Mexico;New York;North Carolina;North Dakota;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.25896092157310946,-0.07899088229674163,-0.17997003927636784
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2017,1,2,39,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.06919280710940523,0.39487423849742154,-0.3256814313880163
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2018,2,2,39,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,0.8710561287867193,0.22112882074122217,0.6499273080454971
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2019,3,2,36,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oregon;Pennsylvania;Rhode Island;South Carolina;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.055358514790397884,0.38070007995826444,-0.4360585947486623
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2020,4,2,36,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oregon;Pennsylvania;Rhode Island;South Carolina;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.12659937420411893,-0.2982239245141835,0.17162455031006457
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2016,2015,2021,5,2,31,Idaho;West Virginia,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oregon;Pennsylvania;Rhode Island;South Carolina;Vermont;Virginia;Washington;Wisconsin,-0.2742592936798163,-0.2505860461936414,-0.023673247486174887
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,2016,2012,-5,3,39,Missouri;New Hampshire;North Dakota,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-1.8734104318579679,-0.5226393977569664,-1.3507710341010015
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,2016,2013,-4,3,39,Missouri;New Hampshire;North Dakota,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-1.2873389645483175,-0.4713105773022156,-0.8160283872461019
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,2016,2014,-3,3,39,Missouri;New Hampshire;North Dakota,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.3868650787298075,-0.0969506539762867,-0.2899144247535208
nonfirearm_suicide_rate_per_100k,Non-Firearm Suicide,2017,2016,2015,-2,3,39,Missouri;New Hampshire;North Dakota,Alabama;Arkansas;California;Colorado;Connecticut;Delaware;Florida;Georgia;Hawaii;Illinois;Indiana;Iowa;Kentucky;Louisiana;Maryland;Massachusetts;Michigan;Minnesota;Montana;Nebraska;Nevada;New Jersey;New Mexico;New York;North Carolina;Ohio;Oklahoma;Oregon;Pennsylvania;Rhode Island;South Carolina;South Dakota;Tennessee;Texas;Utah;Vermont;Virginia;Washington;Wisconsin,-0.8819652446617819,0.1529105843704742,-1.0348758290322562
